z(mm),pH_6.5,pH_7.5,pH_8.5
0.0,6.5587921142578125,12.000000953674316,12.000000953674316
0.1,6.5007500648498535,7.520981311798096,8.53354263305664
0.2,6.500000476837158,7.500041484832764,8.500153541564941
0.30000000000000004,6.500000476837158,7.500000953674316,8.500000953674316
0.4,6.500000476837158,7.500000953674316,8.500000953674316
0.5,6.500000476837158,7.500000953674316,8.500000953674316
0.6000000000000001,6.500000476837158,7.500000953674316,8.500000953674316
0.7,6.500000476837158,7.500000953674316,8.500000953674316
0.8,6.500000476837158,7.500000953674316,8.500000953674316
0.9000000000000001,6.500000476837158,7.500000953674316,8.500000953674316
1.0,6.500000476837158,7.500000953674316,8.500000953674316
1.1,6.500000476837158,7.500000953674316,8.500000953674316
1.2000000000000002,6.500000476837158,7.500000953674316,8.500000953674316
1.3000000000000003,6.500000476837158,7.500000953674316,8.500000953674316
1.4,6.500000476837158,7.500000953674316,8.500000953674316
1.5,6.500000476837158,7.500000953674316,8.500000953674316
1.6,6.500000476837158,7.500000953674316,8.500000953674316
1.7000000000000002,6.500000476837158,7.500000953674316,8.500000953674316
1.8000000000000003,6.500000476837158,7.500000953674316,8.500000953674316
1.9,6.500000476837158,7.500000953674316,8.500000953674316
2.0,6.500000476837158,7.500000953674316,8.500000953674316
2.1,6.500000476837158,7.500000953674316,8.500000953674316
2.2,6.500000476837158,7.500000953674316,8.500000953674316
2.3,6.500000476837158,7.500000953674316,8.500000953674316
2.4000000000000004,6.500000476837158,7.500000953674316,8.500000953674316
2.5,6.500000476837158,7.500000953674316,8.500000953674316
2.6000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
2.7,6.500000476837158,7.500000953674316,8.500000953674316
2.8,6.500000476837158,7.500000953674316,8.500000953674316
2.9000000000000004,6.500000476837158,7.500000953674316,8.500000953674316
3.0,6.500000476837158,7.500000953674316,8.500000953674316
3.1000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
3.2,6.500000476837158,7.500000953674316,8.500000953674316
3.3,6.500000476837158,7.500000953674316,8.500000953674316
3.4000000000000004,6.500000476837158,7.500000953674316,8.500000953674316
3.5,6.500000476837158,7.500000953674316,8.500000953674316
3.6000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
3.7,6.500000476837158,7.500000953674316,8.500000953674316
3.8,6.500000476837158,7.500000953674316,8.500000953674316
3.9000000000000004,6.500000476837158,7.500000953674316,8.500000953674316
4.0,6.500000476837158,7.500000953674316,8.500000953674316
4.1000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
4.2,6.500000476837158,7.500000953674316,8.500000953674316
4.3,6.500000476837158,7.500000953674316,8.500000953674316
4.4,6.500000476837158,7.500000953674316,8.500000953674316
4.500000000000001,6.500000476837158,7.500000953674316,8.500000953674316
4.6,6.500000476837158,7.500000953674316,8.500000953674316
4.7,6.500000476837158,7.500000953674316,8.500000953674316
4.800000000000001,6.500000476837158,7.500000953674316,8.500000953674316
4.8999999999999995,6.500000476837158,7.500000953674316,8.500000953674316
5.0,6.500000476837158,7.500000953674316,8.500000953674316
5.1000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
5.200000000000001,6.500000476837158,7.500000953674316,8.500000953674316
5.3,6.500000476837158,7.500000953674316,8.500000953674316
5.4,6.500000476837158,7.500000953674316,8.500000953674316
5.500000000000001,6.500000476837158,7.500000953674316,8.500000953674316
5.6,6.500000476837158,7.500000953674316,8.500000953674316
5.7,6.500000476837158,7.500000953674316,8.500000953674316
5.800000000000001,6.500000476837158,7.500000953674316,8.500000953674316
5.8999999999999995,6.500000476837158,7.500000953674316,8.500000953674316
6.0,6.500000476837158,7.500000953674316,8.500000953674316
6.1000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
6.200000000000001,6.500000476837158,7.500000953674316,8.500000953674316
6.3,6.500000476837158,7.500000953674316,8.500000953674316
6.4,6.500000476837158,7.500000953674316,8.500000953674316
6.500000000000001,6.500000476837158,7.500000953674316,8.500000953674316
6.6,6.500000476837158,7.500000953674316,8.500000953674316
6.7,6.500000476837158,7.500000953674316,8.500000953674316
6.800000000000001,6.500000476837158,7.500000953674316,8.500000953674316
6.9,6.500000476837158,7.500000953674316,8.500000953674316
7.0,6.500000476837158,7.500000953674316,8.500000953674316
7.1000000000000005,6.500000476837158,7.500000953674316,8.500000953674316
7.200000000000001,6.500000476837158,7.500000953674316,8.500000953674316
7.3,6.500000476837158,7.500000953674316,8.500000953674316
7.4,6.500000476837158,7.500000953674316,8.500000953674316
7.500000000000001,6.500000476837158,7.500000953674316,8.500000953674316
7.6,6.500000476837158,7.500000953674316,8.500000953674316
7.7,6.500000476837158,7.500000953674316,8.500000953674316
7.800000000000001,6.500000476837158,7.500000953674316,8.500000953674316
7.9,6.500000476837158,7.500000953674316,8.500000953674316
8.0,6.500000476837158,7.500000953674316,8.500000953674316
8.1,6.500000476837158,7.500000953674316,8.500000953674316
8.200000000000001,6.500000476837158,7.500000953674316,8.500000953674316
8.3,6.500000476837158,7.500000953674316,8.500000953674316
8.4,6.500000476837158,7.500000953674316,8.500000953674316
8.5,6.500000476837158,7.500000953674316,8.500000953674316
8.6,6.500000476837158,7.500000953674316,8.500000953674316
8.700000000000001,6.500000476837158,7.500000953674316,8.500000953674316
8.8,6.500000476837158,7.500000953674316,8.500000953674316
8.9,6.500000476837158,7.500000953674316,8.500000953674316
9.000000000000002,6.500000476837158,7.500000953674316,8.500000953674316
9.1,6.500000476837158,7.500000953674316,8.500000953674316
9.2,6.500000476837158,7.500000953674316,8.500000953674316
